ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sudeste,MG,3169307,Interior,Municipal,Urbana,227.672288,218.044105,Feminino,Branca,Novembro,2001,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,NA,NA,NA,NA,NA
2017,Sul,PR,4107652,Interior,Estadual,Urbana,201.861929,173.966688,Masculino,NA,Agosto,2002,"Sim, dois","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Mais de 3 horas,Não,Ainda não sei
2017,Norte,AM,1301704,Interior,Estadual,Urbana,196.688773,212.730868,Feminino,Parda,Janeiro,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Nunca estudou,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Norte,PA,1505700,Interior,Municipal,Rural,185.384166,240.74142,Masculino,Parda,Outubro,2000,Não tem,Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade","Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Sudeste,MG,3156403,Interior,Estadual,Urbana,252.434221,257.411084,Masculino,Parda,Abril,2003,"Sim, um",Não sei,Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2307106,Interior,Municipal,Urbana,247.97568,268.614421,Masculino,Parda,Novembro,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Ainda não sei
2017,Sul,RS,4304507,Interior,Municipal,Urbana,273.108115,352.804643,Masculino,Branca,Dezembro,2002,"Sim, um",Não sei,Não sei,"Mais de 2 horas, até 3 horas",Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sul,SC,4214508,Interior,Estadual,Urbana,244.21082,246.319866,Masculino,Não quero declarar,Maio,2000,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Sudeste,SP,3507506,Interior,Municipal,Urbana,192.575392,196.635331,Feminino,Parda,Setembro,2001,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Nordeste,MA,2100477,Interior,Municipal,Urbana,223.450814,257.766838,Masculino,Parda,Maio,2000,Não tem,Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Sim,Ainda não sei
2017,Centro-Oeste,MT,5101852,Interior,Estadual,Urbana,167.976536,240.976503,Feminino,Parda,Janeiro,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,NA,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Ainda não sei
2017,Sudeste,MG,3158805,Interior,Estadual,Urbana,325.807065,335.27217,Feminino,NA,Julho,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3522505,Interior,Estadual,Urbana,312.842165,216.660099,Masculino,Parda,Agosto,2003,"Sim, um",Não sei,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Nordeste,PB,2501104,Interior,Municipal,Rural,284.567314,237.279002,Masculino,Parda,Junho,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sul,RS,4322004,Interior,Municipal,Rural,218.749477,267.470976,Masculino,Branca,Março,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2928604,Interior,Municipal,Rural,239.800706,241.630555,Feminino,Preta,Julho,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3550001,Interior,Municipal,Urbana,218.556485,212.190948,Masculino,Branca,Abril,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Nordeste,CE,2307700,Interior,Municipal,Urbana,340.719627,309.121715,Masculino,Parda,Março,2003,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Entre 1 e 2 horas,Menos de 1 hora,Não,Ainda não sei
2017,Nordeste,PE,2612505,Interior,Municipal,Urbana,265.912481,270.017151,Masculino,Parda,Janeiro,2003,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Não faço trabalhos domésticos,Sim,Ainda não sei
2017,Nordeste,AL,2704302,Capital,Estadual,Urbana,192.731747,232.105385,Masculino,Parda,Agosto,2003,Não tem,Não sei,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3170206,Interior,Estadual,Urbana,234.815143,301.674957,Masculino,Não quero declarar,Abril,2003,"Sim, um",Completou a Faculdade,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3541406,Interior,Estadual,Urbana,225.856301,236.286187,Masculino,Parda,Janeiro,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3501301,Interior,Municipal,Urbana,260.36491,237.914051,Feminino,Branca,Setembro,2002,"Sim, três","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Somente continuar estudando
2017,Nordeste,PE,2611606,Capital,Estadual,Urbana,201.358817,227.240293,Masculino,Branca,Fevereiro,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Nunca estudou,Menos de 1 hora,Mais de 3 horas,Sim,Continuar estudando e trabalhar
2017,Nordeste,BA,2922201,Interior,Municipal,Urbana,242.444967,255.184445,Masculino,Branca,Janeiro,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Menos de 1 hora,Sim,Somente trabalhar
2017,Sudeste,MG,3170909,Interior,Estadual,Rural,168.287538,187.163873,Masculino,Preta,Junho,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,Menos de 1 hora,Não,Somente continuar estudando
2017,Centro-Oeste,MS,5002704,Capital,Estadual,Urbana,256.635089,280.338564,Masculino,Parda,Março,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,MG,3167202,Interior,Estadual,Urbana,291.133892,302.683646,Masculino,Preta,Fevereiro,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3551009,Interior,Estadual,Urbana,231.953538,190.589234,Masculino,Branca,Outubro,2002,Não tem,Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Norte,RR,1400100,Capital,Estadual,Urbana,162.885303,219.868095,Feminino,Parda,Maio,2003,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,GO,5211503,Interior,Estadual,Urbana,264.711336,321.203457,Masculino,Branca,NA,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3161056,Interior,Estadual,Urbana,264.427164,276.347237,Masculino,Preta,Abril,2003,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Mais de 3 horas,Não,Somente continuar estudando
2017,Sudeste,MG,3157807,Interior,Estadual,Urbana,183.710319,284.347776,Feminino,Não quero declarar,Setembro,2002,"Sim, três","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3118007,Interior,Municipal,Urbana,289.832422,268.299915,Masculino,Preta,Março,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Sudeste,MG,3106705,Interior,Municipal,Urbana,315.338224,251.835488,Feminino,Parda,Fevereiro,2003,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2304400,Capital,Estadual,Urbana,251.815577,264.660877,Masculino,Indígena,Novembro,2002,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
2017,Sudeste,MG,3169901,Interior,Estadual,Urbana,161.676665,134.724294,Masculino,Parda,Setembro,2002,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
